id,dataset,label_type,superfamily,class,architecture,topology,homologous_superfamily,length
1a87A01,CATH20,superfamily,3.30.1120.60,3,30,1120,60,97
1a8iA02,CATH20,superfamily,3.40.50.2000,3,40,50,2000,327
1a92A00,CATH20,superfamily,4.10.220.40,4,10,220,40,50
1a94A00,CATH20,superfamily,2.40.70.10,2,40,70,10,99
1a9nC00,CATH20,superfamily,3.80.10.10,3,80,10,10,176
1a9xA06,CATH20,superfamily,3.30.470.20,3,30,470,20,203
1a9xB02,CATH20,superfamily,3.40.50.880,3,40,50,880,228
1aa7A02,CATH20,superfamily,1.10.10.180,1,10,10,180,78
1aamA02,CATH20,superfamily,3.40.640.10,3,40,640,10,271
1ac5A00,CATH20,superfamily,3.40.50.1820,3,40,50,1820,483
1accA02,CATH20,superfamily,2.60.120.240,2,60,120,240,227
1ad1A00,CATH20,superfamily,3.20.20.20,3,20,20,20,266
1ad6A00,CATH20,superfamily,1.10.472.10,1,10,472,10,185
1adeA03,CATH20,superfamily,3.90.170.10,3,90,170,10,166
1aduB02,CATH20,superfamily,3.90.148.10,3,90,148,10,165
1ae9A00,CATH20,superfamily,1.10.443.10,1,10,443,10,179
1aepA00,CATH20,superfamily,1.20.120.20,1,20,120,20,161
1af5A00,CATH20,superfamily,3.10.28.10,3,10,28,10,135
1af7A01,CATH20,superfamily,1.10.155.10,1,10,155,10,80
1afwA02,CATH20,superfamily,3.40.47.10,3,40,47,10,161
1agxA01,CATH20,superfamily,3.40.50.1170,3,40,50,1170,216
1agyA00,CATH20,superfamily,3.40.50.1820,3,40,50,1820,200
1ahpA01,CATH20,superfamily,3.40.50.2000,3,40,50,2000,468
1aihA00,CATH20,superfamily,1.10.443.10,1,10,443,10,170
1aivA01,CATH20,superfamily,3.40.190.10,3,40,190,10,181
1aj6A00,CATH20,superfamily,3.30.565.10,3,30,565,10,219
1ajaB00,CATH20,superfamily,3.40.720.10,3,40,720,10,449
1ajoA00,CATH20,superfamily,2.60.120.200,2,60,120,200,214
1ak0A00,CATH20,superfamily,1.10.575.10,1,10,575,10,270
1ak2A00,CATH20,superfamily,3.40.50.300,3,40,50,300,233
1ak5A00,CATH20,superfamily,3.20.20.70,3,20,20,70,363
1ak6A00,CATH20,superfamily,3.40.20.10,3,40,20,10,174
1akpA00,CATH20,superfamily,2.60.40.230,2,60,40,230,114
1al3A02,CATH20,superfamily,3.40.190.10,3,40,190,10,136
1am2A00,CATH20,superfamily,2.170.16.10,2,170,16,10,199
1am7A00,CATH20,superfamily,1.10.530.10,1,10,530,10,158
1amiA02,CATH20,superfamily,3.40.1060.10,3,40,1060,10,113
1amuA01,CATH20,superfamily,3.40.50.980,3,40,50,980,170
1an4A00,CATH20,superfamily,4.10.280.10,4,10,280,10,65
1anxA04,CATH20,superfamily,1.10.220.10,1,10,220,10,74
1aocA00,CATH20,superfamily,2.10.90.10,2,10,90,10,175
1aopA02,CATH20,superfamily,3.90.480.10,3,90,480,10,156
1aorA01,CATH20,superfamily,3.60.9.10,3,60,9,10,211
1aorA02,CATH20,superfamily,1.10.569.10,1,10,569,10,186
1aoxA00,CATH20,superfamily,3.40.50.410,3,40,50,410,203
1aozA02,CATH20,superfamily,2.60.40.420,2,60,40,420,206
1ap8A00,CATH20,superfamily,3.30.760.10,3,30,760,10,213
1apmE01,CATH20,superfamily,1.10.510.10,1,10,510,10,213
1apqA00,CATH20,superfamily,2.10.25.10,2,10,25,10,53
1apyB00,CATH20,superfamily,3.60.20.30,3,60,20,30,141
1aq3A00,CATH20,superfamily,3.30.380.10,3,30,380,10,129
1aq6A02,CATH20,superfamily,1.10.150.240,1,10,150,240,75
1aqzA00,CATH20,superfamily,3.10.450.30,3,10,450,30,149
1arbA02,CATH20,superfamily,2.40.10.10,2,40,10,10,137
1aroP05,CATH20,superfamily,1.10.150.20,1,10,150,20,231
1at3A00,CATH20,superfamily,3.20.16.10,3,20,16,10,231
1atgA02,CATH20,superfamily,3.40.190.10,3,40,190,10,109
1atiB02,CATH20,superfamily,3.40.50.800,3,40,50,800,112
1attB02,CATH20,superfamily,3.30.497.10,3,30,497,10,269
1augA00,CATH20,superfamily,3.40.630.20,3,40,630,20,215
1autL02,CATH20,superfamily,2.10.25.10,2,10,25,10,52
1auvA01,CATH20,superfamily,3.30.1490.20,3,30,1490,20,60
1auvA03,CATH20,superfamily,3.30.470.20,3,30,470,20,119
1avbA00,CATH20,superfamily,2.60.120.200,2,60,120,200,226
1avcA07,CATH20,superfamily,1.10.220.10,1,10,220,10,89
1avoA00,CATH20,superfamily,1.20.5.120,1,20,5,120,60
1avoB00,CATH20,superfamily,1.20.120.180,1,20,120,180,140
1avyB00,CATH20,superfamily,1.20.5.320,1,20,5,320,55
1aw5A00,CATH20,superfamily,3.20.20.70,3,20,20,70,339
1ax8A00,CATH20,superfamily,1.20.1250.10,1,20,1250,10,146
1ay0A01,CATH20,superfamily,3.40.50.970,3,40,50,970,331
1ayeA02,CATH20,superfamily,3.40.630.10,3,40,630,10,302
1ayfA00,CATH20,superfamily,3.10.20.30,3,10,20,30,105
1ayrB02,CATH20,superfamily,2.60.40.640,2,60,40,640,182
1az1A00,CATH20,superfamily,3.20.20.100,3,20,20,100,315
1aznA00,CATH20,superfamily,2.60.40.420,2,60,40,420,128
1azoA00,CATH20,superfamily,3.40.600.10,3,40,600,10,232
1azwA00,CATH20,superfamily,3.40.50.1820,3,40,50,1820,313
1b04A02,CATH20,superfamily,3.30.1490.70,3,30,1490,70,99
1b0aA01,CATH20,superfamily,3.40.50.720,3,40,50,720,131
1b0yA00,CATH20,superfamily,4.10.490.10,4,10,490,10,85
1b10A00,CATH20,superfamily,1.10.790.10,1,10,790,10,107
1b12C01,CATH20,superfamily,2.10.109.10,2,10,109,10,137
1b1xA04,CATH20,superfamily,3.40.190.10,3,40,190,10,160
1b1yA00,CATH20,superfamily,3.20.20.80,3,20,20,80,500
1b22A00,CATH20,superfamily,1.10.150.20,1,10,150,20,85
1b25A03,CATH20,superfamily,1.10.599.10,1,10,599,10,221
1b2oA00,CATH20,superfamily,2.20.28.10,2,20,28,10,54
1b2rA02,CATH20,superfamily,3.40.50.80,3,40,50,80,167
1b30A00,CATH20,superfamily,3.20.20.80,3,20,20,80,302
1b33N01,CATH20,superfamily,3.30.1490.170,3,30,1490,170,55
1b35A00,CATH20,superfamily,2.60.120.20,2,60,120,20,260
1b35B00,CATH20,superfamily,2.60.120.20,2,60,120,20,255
1b35D00,CATH20,superfamily,4.10.690.10,4,10,690,10,57
1b37A02,CATH20,superfamily,3.90.660.10,3,90,660,10,218
1b3mA02,CATH20,superfamily,3.30.9.10,3,30,9,10,195
1b3oB00,CATH20,superfamily,3.20.20.70,3,20,20,70,466
1b3qA04,CATH20,superfamily,2.40.50.180,2,40,50,180,63
1b43A02,CATH20,superfamily,1.10.150.20,1,10,150,20,61
1b4rA00,CATH20,superfamily,2.60.40.10,2,60,40,10,80
1b4uB00,CATH20,superfamily,3.40.830.10,3,40,830,10,302
1b5eA00,CATH20,superfamily,3.30.572.10,3,30,572,10,246
1b5fC00,CATH20,superfamily,2.40.70.10,2,40,70,10,239
1b5lA00,CATH20,superfamily,1.20.1250.10,1,20,1250,10,172
1b63A02,CATH20,superfamily,3.30.230.10,3,30,230,10,114
1b65A00,CATH20,superfamily,3.60.70.12,3,60,70,12,375
1b69A00,CATH20,superfamily,3.30.160.60,3,30,160,60,69
1b6fA00,CATH20,superfamily,3.30.530.20,3,30,530,20,159
1b72A00,CATH20,superfamily,1.10.10.60,1,10,10,60,97
1b7eA01,CATH20,superfamily,3.90.350.10,3,90,350,10,288
1b7eA02,CATH20,superfamily,1.10.740.10,1,10,740,10,130
1b7yB03,CATH20,superfamily,3.50.40.10,3,50,40,10,214
1b85A02,CATH20,superfamily,1.10.420.10,1,10,420,10,167
1b89A00,CATH20,superfamily,1.25.40.10,1,25,40,10,341
1b8dB00,CATH20,superfamily,1.10.490.20,1,10,490,20,177
1b8fA01,CATH20,superfamily,1.10.275.10,1,10,275,10,194
1b8fA02,CATH20,superfamily,1.20.200.10,1,20,200,10,313
1b92A00,CATH20,superfamily,3.30.420.10,3,30,420,10,163
1b9iA02,CATH20,superfamily,3.90.1150.10,3,90,1150,10,139
1b9lA00,CATH20,superfamily,3.30.1130.10,3,30,1130,10,120
1b9nB02,CATH20,superfamily,2.40.50.100,2,40,50,100,76
1b9vA00,CATH20,superfamily,2.120.10.10,2,120,10,10,390
1b9wA01,CATH20,superfamily,2.10.25.10,2,10,25,10,51
1bagA01,CATH20,superfamily,3.20.20.80,3,20,20,80,347
1bb9A00,CATH20,superfamily,2.30.30.40,2,30,30,40,83
1bbxC00,CATH20,superfamily,2.40.50.40,2,40,50,40,63
1bbyA00,CATH20,superfamily,1.10.10.10,1,10,10,10,69
1bc9A01,CATH20,superfamily,1.10.220.20,1,10,220,20,79
1bccB02,CATH20,superfamily,3.30.830.10,3,30,830,10,201
1bccE01,CATH20,superfamily,1.20.5.270,1,20,5,270,64
1bccF00,CATH20,superfamily,1.10.1090.10,1,10,1090,10,109
1bccG00,CATH20,superfamily,1.20.5.210,1,20,5,210,81
1bcoA01,CATH20,superfamily,3.30.420.10,3,30,420,10,240
1bcoA02,CATH20,superfamily,2.30.30.130,2,30,30,130,68
1bctA00,CATH20,superfamily,4.10.290.10,4,10,290,10,69
1bd3A00,CATH20,superfamily,3.40.50.2020,3,40,50,2020,224
1bdgA01,CATH20,superfamily,3.40.367.20,3,40,367,20,281
1bdp001,CATH20,superfamily,3.30.420.10,3,30,420,10,206
1bdyA00,CATH20,superfamily,2.60.40.150,2,60,40,150,123
1be4A00,CATH20,superfamily,3.30.70.141,3,30,70,141,151
1beaA00,CATH20,superfamily,1.10.110.10,1,10,110,10,127
1betA00,CATH20,superfamily,2.10.90.10,2,10,90,10,107
1bf2A01,CATH20,superfamily,2.60.40.10,2,60,40,10,162
1bf2A02,CATH20,superfamily,3.20.20.80,3,20,20,80,474
1bf2A03,CATH20,superfamily,2.60.40.1180,2,60,40,1180,114
1bf6A00,CATH20,superfamily,3.20.20.140,3,20,20,140,291
1bfoB02,CATH20,superfamily,2.60.40.10,2,60,40,10,95
1bg1A03,CATH20,superfamily,1.10.238.10,1,10,238,10,122
1bg1A04,CATH20,superfamily,3.30.505.10,3,30,505,10,123
1bg6A02,CATH20,superfamily,1.10.1040.10,1,10,1040,10,153
1bgqA00,CATH20,superfamily,3.30.565.10,3,30,565,10,225
1bgwA02,CATH20,superfamily,3.40.50.670,3,40,50,670,181
1bgwA03,CATH20,superfamily,1.10.268.10,1,10,268,10,141
1bh3A00,CATH20,superfamily,2.40.160.10,2,40,160,10,289
1bh5A00,CATH20,superfamily,3.10.180.10,3,10,180,10,183
1bhaA00,CATH20,superfamily,1.10.287.170,1,10,287,170,71
1bheA00,CATH20,superfamily,2.160.20.10,2,160,20,10,376
1bi0A02,CATH20,superfamily,1.10.60.10,1,10,60,10,66
1bifA01,CATH20,superfamily,3.40.50.300,3,40,50,300,206
1bikA00,CATH20,superfamily,4.10.410.10,4,10,410,10,123
1biqA00,CATH20,superfamily,1.10.620.20,1,10,620,20,340
1bj4A01,CATH20,superfamily,3.40.640.10,3,40,640,10,263
1bjaA00,CATH20,superfamily,1.10.10.10,1,10,10,10,95
1bjtA05,CATH20,superfamily,3.90.199.10,3,90,199,10,249
1bk6A00,CATH20,superfamily,1.25.10.10,1,25,10,10,422
1bk8A00,CATH20,superfamily,3.30.30.10,3,30,30,10,50
1bk9A00,CATH20,superfamily,1.20.90.10,1,20,90,10,124
1bkcE00,CATH20,superfamily,3.40.390.10,3,40,390,10,256
1bl0A01,CATH20,superfamily,1.10.10.60,1,10,10,60,64
1bl0A02,CATH20,superfamily,1.10.10.60,1,10,10,60,65
1bliA03,CATH20,superfamily,2.60.40.1180,2,60,40,1180,87
1blwA02,CATH20,superfamily,2.60.40.10,2,60,40,10,108
1bmlC03,CATH20,superfamily,3.10.20.150,3,10,20,150,83
1bnkA00,CATH20,superfamily,3.10.300.10,3,10,300,10,216
1bo1A02,CATH20,superfamily,3.30.810.10,3,30,810,10,177
1bo7A00,CATH20,superfamily,3.30.572.10,3,30,572,10,316
1booA00,CATH20,superfamily,3.40.50.150,3,40,50,150,285
1bp1A01,CATH20,superfamily,3.15.10.10,3,15,10,10,180
1bpeA01,CATH20,superfamily,1.10.150.110,1,10,150,110,91
1bplA01,CATH20,superfamily,3.30.750.90,3,30,750,90,106
1bpoA02,CATH20,superfamily,1.25.40.30,1,25,40,30,162
1bprA00,CATH20,superfamily,2.60.34.10,2,60,34,10,191
1bqgA01,CATH20,superfamily,3.30.390.10,3,30,390,10,161
1br2A01,CATH20,superfamily,3.40.850.10,3,40,850,10,316
1br9A01,CATH20,superfamily,3.90.370.10,3,90,370,10,98
1bt3A00,CATH20,superfamily,1.10.1280.10,1,10,1280,10,345
1bt9A00,CATH20,superfamily,2.40.160.10,2,40,160,10,340
1bv8A00,CATH20,superfamily,2.60.40.690,2,60,40,690,138
1bvnP01,CATH20,superfamily,3.20.20.80,3,20,20,80,403
1bvp101,CATH20,superfamily,1.10.250.10,1,10,250,10,120
1bvsA02,CATH20,superfamily,1.10.150.20,1,10,150,20,83
1bvsF03,CATH20,superfamily,1.10.8.10,1,10,8,10,52
1bw0B01,CATH20,superfamily,3.90.1150.10,3,90,1150,10,144
1bw3A00,CATH20,superfamily,2.40.40.10,2,40,40,10,125
1bwdA00,CATH20,superfamily,3.75.10.10,3,75,10,10,348
1bwkA00,CATH20,superfamily,3.20.20.70,3,20,20,70,399
1bwvA01,CATH20,superfamily,3.30.70.150,3,30,70,150,128
1bwvS00,CATH20,superfamily,3.30.190.10,3,30,190,10,138
1bxgB01,CATH20,superfamily,3.40.50.10860,3,40,50,10860,139
1bxrA05,CATH20,superfamily,3.40.50.20,3,40,50,20,140
1bxrC02,CATH20,superfamily,3.30.470.20,3,30,470,20,285
1bxtA02,CATH20,superfamily,3.10.20.120,3,10,20,120,144
1by1A00,CATH20,superfamily,1.20.900.10,1,20,900,10,209
1byfA00,CATH20,superfamily,3.10.100.10,3,10,100,10,125
1byiA00,CATH20,superfamily,3.40.50.300,3,40,50,300,224
1c01A00,CATH20,superfamily,2.60.20.30,2,60,20,30,76
1c02A00,CATH20,superfamily,1.20.120.160,1,20,120,160,166
1c0pA02,CATH20,superfamily,3.30.9.10,3,30,9,10,163
1c0wA01,CATH20,superfamily,1.10.10.10,1,10,10,10,73
1c17M00,CATH20,superfamily,1.20.120.220,1,20,120,220,177
1c1dA02,CATH20,superfamily,3.40.50.720,3,40,50,720,202
1c1kA02,CATH20,superfamily,1.10.220.50,1,10,220,50,115
1c30A08,CATH20,superfamily,3.40.50.1380,3,40,50,1380,137
1c3fA00,CATH20,superfamily,3.20.20.80,3,20,20,80,265
1c3qA00,CATH20,superfamily,3.40.1190.20,3,40,1190,20,284
1c41A00,CATH20,superfamily,3.40.50.960,3,40,50,960,200
1c48A00,CATH20,superfamily,2.40.50.70,2,40,50,70,69
1c4kA01,CATH20,superfamily,3.40.50.220,3,40,50,220,107
1c4kA02,CATH20,superfamily,3.40.640.10,3,40,640,10,313
1c4kA03,CATH20,superfamily,3.90.1150.10,3,90,1150,10,180
1c5aA00,CATH20,superfamily,1.20.91.20,1,20,91,20,73
1c5kA02,CATH20,superfamily,2.120.10.30,2,120,10,30,274
1c7kA00,CATH20,superfamily,3.40.390.10,3,40,390,10,132
1c7sA01,CATH20,superfamily,2.60.40.290,2,60,40,290,142
1c7sA02,CATH20,superfamily,3.30.379.10,3,30,379,10,127
1c7sA03,CATH20,superfamily,3.20.20.80,3,20,20,80,484
1c89A02,CATH20,superfamily,3.90.1210.10,3,90,1210,10,64
1c8bA00,CATH20,superfamily,3.40.50.1450,3,40,50,1450,338
1c8jA00,CATH20,superfamily,1.10.630.10,1,10,630,10,414
1c8uA01,CATH20,superfamily,3.10.129.10,3,10,129,10,156
1c8zA00,CATH20,superfamily,3.20.90.10,3,20,90,10,265
1c9bA02,CATH20,superfamily,1.10.472.10,1,10,472,10,106
1c9kB00,CATH20,superfamily,3.40.50.300,3,40,50,300,180
1c9rB03,CATH20,superfamily,3.30.70.270,3,30,70,270,79
1cb5A01,CATH20,superfamily,3.90.70.10,3,90,70,10,401
1cb8A03,CATH20,superfamily,2.60.220.10,2,60,220,10,110
1cbfA02,CATH20,superfamily,3.30.950.10,3,30,950,10,121
1cbkA00,CATH20,superfamily,3.30.70.560,3,30,70,560,160
1ccwB01,CATH20,superfamily,3.20.20.240,3,20,20,240,417
1ccwB02,CATH20,superfamily,3.90.970.10,3,90,970,10,66
1cczA01,CATH20,superfamily,2.60.40.10,2,60,40,10,93
1cd3F00,CATH20,superfamily,2.60.169.10,2,60,169,10,426
1ce3A00,CATH20,superfamily,3.30.60.30,3,30,60,30,54
1cecA00,CATH20,superfamily,3.20.20.80,3,20,20,80,343
1ceeB00,CATH20,superfamily,3.90.810.10,3,90,810,10,59
1ceuA00,CATH20,superfamily,6.10.210.10,6,10,210,10,51
1cf7A00,CATH20,superfamily,1.10.10.10,1,10,10,10,76
1cf7B00,CATH20,superfamily,1.10.10.10,1,10,10,10,95
1ch0A00,CATH20,superfamily,3.10.450.30,3,10,450,30,104
1chhA00,CATH20,superfamily,1.10.760.10,1,10,760,10,108
1chkA01,CATH20,superfamily,1.20.141.10,1,20,141,10,143
1ci4A00,CATH20,superfamily,1.10.150.40,1,10,150,40,88
1ciaA00,CATH20,superfamily,3.30.559.10,3,30,559,10,213
1cidA01,CATH20,superfamily,2.60.40.10,2,60,40,10,106
1ciiA01,CATH20,superfamily,1.20.250.10,1,20,250,10,344
1citA00,CATH20,superfamily,3.30.50.10,3,30,50,10,89
1cjaA01,CATH20,superfamily,3.30.1010.10,3,30,1010,10,165
1cjxB02,CATH20,superfamily,3.10.180.10,3,10,180,10,202
1ckmA01,CATH20,superfamily,3.30.470.30,3,30,470,30,165
1ckmA02,CATH20,superfamily,2.40.50.140,2,40,50,140,83
1ckmA03,CATH20,superfamily,4.10.87.10,4,10,87,10,54
1cmbA00,CATH20,superfamily,1.10.140.10,1,10,140,10,104
1cneA02,CATH20,superfamily,3.40.50.80,3,40,50,80,153
1cnsA01,CATH20,superfamily,1.10.530.10,1,10,530,10,185
1coyA02,CATH20,superfamily,3.30.410.10,3,30,410,10,157
1cpoA00,CATH20,superfamily,1.10.489.10,1,10,489,10,299
1cpyA01,CATH20,superfamily,3.40.50.1820,3,40,50,1820,349
1cpyA02,CATH20,superfamily,1.10.287.410,1,10,287,410,72
1cqmA00,CATH20,superfamily,3.30.70.60,3,30,70,60,101
1cqzA01,CATH20,superfamily,3.40.50.1000,3,40,50,1000,219
1cqzB02,CATH20,superfamily,1.10.150.240,1,10,150,240,80
1crkA02,CATH20,superfamily,3.30.590.10,3,30,590,10,279
1cruA00,CATH20,superfamily,2.120.10.30,2,120,10,30,454
1cs1A02,CATH20,superfamily,3.90.1150.10,3,90,1150,10,139
1cseI00,CATH20,superfamily,3.30.10.10,3,30,10,10,70
1ct1D00,CATH20,superfamily,2.40.50.110,2,40,50,110,103
1ct9B02,CATH20,superfamily,3.40.50.620,3,40,50,620,321
1cttA02,CATH20,superfamily,3.40.140.10,3,40,140,10,115
1cukA01,CATH20,superfamily,2.40.50.140,2,40,50,140,66
1cx4A02,CATH20,superfamily,2.60.120.10,2,60,120,10,152
1cxpC00,CATH20,superfamily,1.10.640.10,1,10,640,10,466
1cxyA00,CATH20,superfamily,3.10.120.10,3,10,120,10,90
1cxzB00,CATH20,superfamily,1.10.287.160,1,10,287,160,86
1cywA00,CATH20,superfamily,2.60.40.420,2,60,40,420,173
1cz3B00,CATH20,superfamily,3.40.430.10,3,40,430,10,168
1cz4A02,CATH20,superfamily,3.10.330.10,3,10,330,10,81
1cz9A00,CATH20,superfamily,3.30.420.10,3,30,420,10,162
1d02B00,CATH20,superfamily,3.40.580.10,3,40,580,10,202
1d09A02,CATH20,superfamily,3.40.50.1370,3,40,50,1370,158
1d0bA00,CATH20,superfamily,3.80.10.10,3,80,10,10,213
1d0cA03,CATH20,superfamily,3.90.1230.10,3,90,1230,10,89
1d0dA00,CATH20,superfamily,4.10.410.10,4,10,410,10,60
1d1rA00,CATH20,superfamily,3.30.780.10,3,30,780,10,89
1d1tA01,CATH20,superfamily,3.90.180.10,3,90,180,10,234
1d2dA00,CATH20,superfamily,1.10.287.10,1,10,287,10,59
1d2fA02,CATH20,superfamily,3.40.640.10,3,40,640,10,243
1d2fB01,CATH20,superfamily,3.90.1150.10,3,90,1150,10,146
1d2iA00,CATH20,superfamily,3.40.91.20,3,40,91,20,222
1d2nA02,CATH20,superfamily,1.10.8.60,1,10,8,60,67
1d2oA01,CATH20,superfamily,2.60.40.1140,2,60,40,1140,107
1d3yA01,CATH20,superfamily,1.10.10.10,1,10,10,10,74
1d4aA00,CATH20,superfamily,3.40.50.360,3,40,50,360,273
1d4m300,CATH20,superfamily,2.60.120.20,2,60,120,20,238
1d4m400,CATH20,superfamily,4.10.80.10,4,10,80,10,68
1d4xG00,CATH20,superfamily,3.40.20.10,3,40,20,10,126
1d5rA02,CATH20,superfamily,2.60.40.1110,2,60,40,1110,143
1d5tA02,CATH20,superfamily,3.30.519.10,3,30,519,10,153
1d66A00,CATH20,superfamily,4.10.240.10,4,10,240,10,66
1d6nA00,CATH20,superfamily,3.40.50.2020,3,40,50,2020,214
1d7bA00,CATH20,superfamily,2.60.40.1210,2,60,40,1210,186
1d7mA00,CATH20,superfamily,1.20.5.340,1,20,5,340,101
1d7pM00,CATH20,superfamily,2.60.120.260,2,60,120,260,159
1d8cA02,CATH20,superfamily,2.170.170.11,2,170,170,11,128
1d8jA00,CATH20,superfamily,1.10.10.10,1,10,10,10,81
1d8wC00,CATH20,superfamily,3.20.20.150,3,20,20,150,426
1d9xA03,CATH20,superfamily,6.10.140.240,6,10,140,240,64
1db3A02,CATH20,superfamily,3.90.25.10,3,90,25,10,131
1dbqA01,CATH20,superfamily,3.40.50.2300,3,40,50,2300,141
1dbtA00,CATH20,superfamily,3.20.20.70,3,20,20,70,239
1dc1A01,CATH20,superfamily,3.40.91.10,3,40,91,10,235
1dceA02,CATH20,superfamily,2.60.40.1130,2,60,40,1130,103
1dcsA00,CATH20,superfamily,2.60.120.330,2,60,120,330,311
1dd1A00,CATH20,superfamily,2.60.200.10,2,60,200,10,268
1dd3A01,CATH20,superfamily,1.20.5.710,1,20,5,710,57
1dd5A02,CATH20,superfamily,3.30.1360.40,3,30,1360,40,75
1ddgA01,CATH20,superfamily,2.40.30.10,2,40,30,10,114
1ddqC02,CATH20,superfamily,3.90.1100.10,3,90,1100,10,341
1dekA01,CATH20,superfamily,3.40.50.300,3,40,50,300,118
1dekA02,CATH20,superfamily,1.10.238.70,1,10,238,70,122
1deuB00,CATH20,superfamily,3.90.70.10,3,90,70,10,277
1df4A00,CATH20,superfamily,1.10.287.210,1,10,287,210,68
1dg3A02,CATH20,superfamily,3.40.50.300,3,40,50,300,283
1dgfA01,CATH20,superfamily,4.10.91.20,4,10,91,20,64
1dgjA01,CATH20,superfamily,3.10.20.30,3,10,20,30,74
1dgjA02,CATH20,superfamily,1.10.150.120,1,10,150,120,119
1dglA00,CATH20,superfamily,2.60.120.200,2,60,120,200,237
1dgnA00,CATH20,superfamily,1.10.533.10,1,10,533,10,89
1dgsA05,CATH20,superfamily,1.10.150.20,1,10,150,20,69
1dhxA03,CATH20,superfamily,3.90.249.10,3,90,249,10,254
1dihA01,CATH20,superfamily,3.40.50.720,3,40,50,720,165
1dikA01,CATH20,superfamily,3.30.1490.20,3,30,1490,20,154
1dj0A01,CATH20,superfamily,3.30.70.660,3,30,70,660,138
1dj8A00,CATH20,superfamily,1.10.890.10,1,10,890,10,89
1djxB01,CATH20,superfamily,1.10.238.10,1,10,238,10,52
1dkgB02,CATH20,superfamily,2.30.22.10,2,30,22,10,57
1dklB01,CATH20,superfamily,3.40.50.1240,3,40,50,1240,286
1dkuA02,CATH20,superfamily,3.40.50.2020,3,40,50,2020,176
1dl3B00,CATH20,superfamily,3.20.20.70,3,20,20,70,203
1dl6A00,CATH20,superfamily,2.20.25.10,2,20,25,10,58
1dleA01,CATH20,superfamily,2.40.10.10,2,40,10,10,133
1dljA02,CATH20,superfamily,3.40.50.720,3,40,50,720,108
1dljA03,CATH20,superfamily,1.10.1040.10,1,10,1040,10,90
1dm9A00,CATH20,superfamily,3.10.290.10,3,10,290,10,108
1dmgA00,CATH20,superfamily,3.40.1370.10,3,40,1370,10,172
1dmlA00,CATH20,superfamily,3.70.10.10,3,70,10,10,291
1dmuA00,CATH20,superfamily,3.40.600.20,3,40,600,20,299
1dmxA00,CATH20,superfamily,3.10.200.10,3,10,200,10,248
1dmzA00,CATH20,superfamily,2.60.200.20,2,60,200,20,158
1dncA01,CATH20,superfamily,3.50.50.60,3,50,50,60,219
1doaB00,CATH20,superfamily,2.70.50.30,2,70,50,30,200
1dofA03,CATH20,superfamily,1.10.40.30,1,10,40,30,56
1doiA00,CATH20,superfamily,3.10.20.30,3,10,20,30,128
