id,dataset,label_type,sccs,class,fold,superfamily,family,length
d4xxia_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,147
d2zs0a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,140
d2zs0b_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,142
d2zs0c_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,147
d2zs0d_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,145
d3ozua1,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,150
d5ziqa1,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,154
d6wk3a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,145
d4po5a1,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,160
d1x46a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,150
d1x3ka_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,152
d1kf6b1,SCOPe-ALL,family,a.1.2.1,a,a.1,a.1.2,a.1.2.1,138
d2h88b2,SCOPe-ALL,family,a.1.2.1,a,a.1,a.1.2,a.1.2.1,132
d2bs2b1,SCOPe-ALL,family,a.1.2.1,a,a.1,a.1.2,a.1.2.1,134
d7m32a1,SCOPe-ALL,family,a.1.2.2,a,a.1,a.1.2,a.1.2.2,181
d6lumb2,SCOPe-ALL,family,a.1.2.0,a,a.1,a.1.2,a.1.2.0,128
d1grja1,SCOPe-ALL,family,a.2.1.1,a,a.2,a.2.1,a.2.1.1,78
d2f23a1,SCOPe-ALL,family,a.2.1.1,a,a.2,a.2.1,a.2.1.1,75
d2p4va1,SCOPe-ALL,family,a.2.1.0,a,a.2,a.2.1,a.2.1.0,79
d2qamx1,SCOPe-ALL,family,a.2.2.1,a,a.2,a.2.2,a.2.2.1,63
d1vq8v1,SCOPe-ALL,family,a.2.2.1,a,a.2,a.2.2,a.2.2.1,65
d2j0121,SCOPe-ALL,family,a.2.2.1,a,a.2,a.2.2,a.2.2.1,51
d2qwob_,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,92
d1wjza1,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,81
d1fpoa1,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,76
d1iura1,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,75
d1fafa_,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,79
d1gh6a1,SCOPe-ALL,family,a.2.3.1,a,a.2,a.2.3,a.2.3.1,111
d2o37a_,SCOPe-ALL,family,a.2.3.0,a,a.2,a.2.3,a.2.3.0,81
d2yuaa1,SCOPe-ALL,family,a.2.3.0,a,a.2,a.2.3,a.2.3.0,86
d6rzya1,SCOPe-ALL,family,a.2.3.0,a,a.2,a.2.3,a.2.3.0,68
d3ag7a1,SCOPe-ALL,family,a.2.3.0,a,a.2,a.2.3,a.2.3.0,100
d1fxkc_,SCOPe-ALL,family,a.2.5.1,a,a.2,a.2.5,a.2.5.1,133
d1fxka_,SCOPe-ALL,family,a.2.5.1,a,a.2,a.2.5,a.2.5.1,107
d1cxzb_,SCOPe-ALL,family,a.2.6.1,a,a.2,a.2.6,a.2.6.1,86
d4nkgb_,SCOPe-ALL,family,a.2.6.1,a,a.2,a.2.6,a.2.6.1,66
d1seta1,SCOPe-ALL,family,a.2.7.1,a,a.2,a.2.7,a.2.7.1,110
d2iy5a1,SCOPe-ALL,family,a.2.7.2,a,a.2,a.2.7,a.2.7.2,70
d1ivsa1,SCOPe-ALL,family,a.2.7.3,a,a.2,a.2.7,a.2.7.3,66
d1lrza1,SCOPe-ALL,family,a.2.7.4,a,a.2,a.2.7,a.2.7.4,65
d6p24c1,SCOPe-ALL,family,a.2.7.0,a,a.2,a.2.7,a.2.7.0,86
d1k4ta1,SCOPe-ALL,family,a.2.8.1,a,a.2,a.2.8,a.2.8.1,72
d1qoja_,SCOPe-ALL,family,a.2.9.1,a,a.2,a.2.9,a.2.9.1,46
d2hldh2,SCOPe-ALL,family,a.2.10.1,a,a.2,a.2.10,a.2.10.1,45
d2jdih1,SCOPe-ALL,family,a.2.10.1,a,a.2,a.2.10,a.2.10.1,45
d1aqta1,SCOPe-ALL,family,a.2.10.1,a,a.2,a.2.10,a.2.10.1,50
d1coja1,SCOPe-ALL,family,a.2.11.1,a,a.2,a.2.11,a.2.11.1,89
d1my6a1,SCOPe-ALL,family,a.2.11.1,a,a.2,a.2.11,a.2.11.1,88
d1ix9a1,SCOPe-ALL,family,a.2.11.1,a,a.2,a.2.11,a.2.11.1,90
d3ak2a1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,92
d4f6ea1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,89
d3ceia1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,84
d4f2na1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,96
d2cw3a1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,87
d6gsca1,SCOPe-ALL,family,a.2.11.0,a,a.2,a.2.11,a.2.11.0,65
d3d36c_,SCOPe-ALL,family,a.2.12.1,a,a.2,a.2.12,a.2.12.1,42
d1us6a_,SCOPe-ALL,family,a.2.13.1,a,a.2,a.2.13,a.2.13.1,91
d1tjla1,SCOPe-ALL,family,a.2.14.1,a,a.2,a.2.14,a.2.14.1,104
d5gmkh_,SCOPe-ALL,family,a.2.15.1,a,a.2,a.2.15,a.2.15.1,95
d1x4ta1,SCOPe-ALL,family,a.2.15.1,a,a.2,a.2.15,a.2.15.1,79
d2a26a1,SCOPe-ALL,family,a.2.16.1,a,a.2,a.2.16,a.2.16.1,47
d2f6ma2,SCOPe-ALL,family,a.2.17.1,a,a.2,a.2.17,a.2.17.1,64
d2f6mb2,SCOPe-ALL,family,a.2.17.2,a,a.2,a.2.17,a.2.17.2,106
d2f66c1,SCOPe-ALL,family,a.2.17.3,a,a.2,a.2.17,a.2.17.3,65
d6vmee_,SCOPe-ALL,family,a.2.17.0,a,a.2,a.2.17,a.2.17.0,102
d1z0pa1,SCOPe-ALL,family,a.2.18.1,a,a.2,a.2.18,a.2.18.1,77
d1z0jb1,SCOPe-ALL,family,a.2.19.1,a,a.2,a.2.19,a.2.19.1,51
d1z0kb1,SCOPe-ALL,family,a.2.19.1,a,a.2,a.2.19,a.2.19.1,61
d2ca5a1,SCOPe-ALL,family,a.2.20.1,a,a.2,a.2.20,a.2.20.1,59
d3bhpa_,SCOPe-ALL,family,a.2.21.1,a,a.2,a.2.21,a.2.21.1,52
d1gu2a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,124
d1i8oa_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,114
d1cc5a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,83
d1gksa_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,78
d5xeca_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,82
d1ql3a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,99
d1c52a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,131
d1b7ca_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,71
d1c53a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,79
d1ctja_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,89
d4n0ka1,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,106
d1h32b_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,138
d1e29a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,135
d1dw0a_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,112
d2bh4x_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,122
d1wvec_,SCOPe-ALL,family,a.3.1.1,a,a.3,a.3.1,a.3.1.1,75
d1qksa1,SCOPe-ALL,family,a.3.1.2,a,a.3,a.3.1,a.3.1.2,127
d3cx5d1,SCOPe-ALL,family,a.3.1.3,a,a.3,a.3.1,a.3.1.3,199
d1qcrd2,SCOPe-ALL,family,a.3.1.3,a,a.3,a.3.1,a.3.1.3,29
d1m70a1,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,92
d1m70a2,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,98
d1h1oa1,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,82
d1h1oa2,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,90
d3vrda1,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,80
d3vrda2,SCOPe-ALL,family,a.3.1.4,a,a.3,a.3.1,a.3.1.4,94
d1kb0a1,SCOPe-ALL,family,a.3.1.6,a,a.3,a.3.1,a.3.1.6,97
d1kv9a1,SCOPe-ALL,family,a.3.1.6,a,a.3,a.3.1,a.3.1.6,104
d1pbya1,SCOPe-ALL,family,a.3.1.7,a,a.3,a.3.1,a.3.1.7,85
d1pbya2,SCOPe-ALL,family,a.3.1.7,a,a.3,a.3.1,a.3.1.7,80
d1jmxa1,SCOPe-ALL,family,a.3.1.7,a,a.3,a.3.1,a.3.1.7,84
d1h32a1,SCOPe-ALL,family,a.3.1.8,a,a.3,a.3.1,a.3.1.8,150
d1h32a2,SCOPe-ALL,family,a.3.1.8,a,a.3,a.3.1,a.3.1.8,111
d2zxya_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,86
d5xdha_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,86
d5mxza_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,82
d4j20a_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,88
d4aana1,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,165
d4aana2,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,158
d3cu4a_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,79
d1umma_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,149
d1w2la_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,97
d4xxla1,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,90
d4eiea_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,82
d2ce0a_,SCOPe-ALL,family,a.3.1.0,a,a.3,a.3.1,a.3.1.0,99
d1p7id_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,56
d1lfba_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,78
d1mija_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,152
d1pufa_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,77
d1uhsa1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,64
d1x58a1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,49
d1bw5a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,66
d1x2ma1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,51
d1k61a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,60
d1akha_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,49
d1pufb_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,73
d1x41a1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,47
d1qrya1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,76
d1wh7a1,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,67
d3nara_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,70
d3a02a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,51
d3a01a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,78
d3k2aa_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,55
d4j19a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,77
d2mw8a_,SCOPe-ALL,family,a.4.1.1,a,a.4,a.4.1,a.4.1.1,67
d1gdta1,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,43
d1ijwc_,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,47
d2ezla_,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,99
d2ezia_,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,75
d1tc3c_,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,51
d1u78a2,SCOPe-ALL,family,a.4.1.2,a,a.4,a.4.1,a.4.1.2,50
d1ug2a1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,89
d1a5ja2,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,55
d1guua_,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,50
d2cqqa1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d2cqra1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d1wgxa1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,60
d2crga1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,57
d2cu7a1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,65
d2cjja1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,63
d1fexa_,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,59
d2uxnb1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,65
d1ofcx1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,52
d2ckxa1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,83
d1h8ac1,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,57
d4a69c_,SCOPe-ALL,family,a.4.1.3,a,a.4,a.4.1,a.4.1.3,69
d3sjma_,SCOPe-ALL,family,a.4.1.4,a,a.4,a.4.1,a.4.1.4,55
d1k78a1,SCOPe-ALL,family,a.4.1.5,a,a.4,a.4.1,a.4.1.5,63
d1k78a2,SCOPe-ALL,family,a.4.1.5,a,a.4,a.4.1,a.4.1.5,61
d1igna2,SCOPe-ALL,family,a.4.1.6,a,a.4,a.4.1,a.4.1.6,149
d1igna1,SCOPe-ALL,family,a.4.1.6,a,a.4,a.4.1,a.4.1.6,86
d1iufa1,SCOPe-ALL,family,a.4.1.7,a,a.4,a.4.1,a.4.1.7,75
d1iufa2,SCOPe-ALL,family,a.4.1.7,a,a.4,a.4.1,a.4.1.7,66
d1hlva1,SCOPe-ALL,family,a.4.1.7,a,a.4,a.4.1,a.4.1.7,66
d1hlva2,SCOPe-ALL,family,a.4.1.7,a,a.4,a.4.1,a.4.1.7,63
d1bl0a1,SCOPe-ALL,family,a.4.1.8,a,a.4,a.4.1,a.4.1.8,54
d1bl0a2,SCOPe-ALL,family,a.4.1.8,a,a.4,a.4.1,a.4.1.8,62
d1d5ya2,SCOPe-ALL,family,a.4.1.8,a,a.4,a.4.1,a.4.1.8,65
d1ui5a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,71
d4jyka1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,75
d1rkta1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,81
d1vi0a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,72
d3br0a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,71
d2gena1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,70
d2fd5a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,76
d2gfna1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,77
d2d6ya1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,68
d2oi8a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,79
d2g3ba1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,72
d2g7sa1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,74
d2g7ga1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,65
d2hkua1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,70
d2i10a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,69
d2np3a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,65
d3c07a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,75
d2hyja1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,75
d2id3a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,68
d2g7la1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,68
d1sgma1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,73
d1t33a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,88
d2xpwa1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,65
d2iu5a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,71
d2fq4a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,69
d1zk8a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,72
d2o7ta1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,78
d2yvea1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,74
d1z0xa1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,68
d2fbqa1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,79
d2np5a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,69
d2id6a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,75
d2jk3a1,SCOPe-ALL,family,a.4.1.9,a,a.4,a.4.1,a.4.1.9,73
d1ntca1,SCOPe-ALL,family,a.4.1.12,a,a.4,a.4.1,a.4.1.12,90
d1etoa_,SCOPe-ALL,family,a.4.1.12,a,a.4,a.4.1,a.4.1.12,90
d1umqa_,SCOPe-ALL,family,a.4.1.12,a,a.4,a.4.1,a.4.1.12,60
d1g2ha_,SCOPe-ALL,family,a.4.1.12,a,a.4,a.4.1,a.4.1.12,61
d1ofcx2,SCOPe-ALL,family,a.4.1.13,a,a.4,a.4.1,a.4.1.13,128
d1rr7a_,SCOPe-ALL,family,a.4.1.14,a,a.4,a.4.1,a.4.1.14,94
d2coba1,SCOPe-ALL,family,a.4.1.15,a,a.4,a.4.1,a.4.1.15,63
d2ga1a1,SCOPe-ALL,family,a.4.1.16,a,a.4,a.4.1,a.4.1.16,102
d2ao9a1,SCOPe-ALL,family,a.4.1.17,a,a.4,a.4.1,a.4.1.17,120
d2dw4a1,SCOPe-ALL,family,a.4.1.18,a,a.4,a.4.1,a.4.1.18,102
d2fq3a1,SCOPe-ALL,family,a.4.1.18,a,a.4,a.4.1,a.4.1.18,85
d2aqfa2,SCOPe-ALL,family,a.4.1.18,a,a.4,a.4.1,a.4.1.18,89
d2jn6a1,SCOPe-ALL,family,a.4.1.19,a,a.4,a.4.1,a.4.1.19,89
d2o3fa1,SCOPe-ALL,family,a.4.1.20,a,a.4,a.4.1,a.4.1.20,83
d3gnaa_,SCOPe-ALL,family,a.4.1.21,a,a.4,a.4.1,a.4.1.21,68
d2ltpa_,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,71
d2dmqa1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,67
d2yuma1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,62
d2da3a1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,67
d2da1a1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,57
d2da5a1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,62
d2dn0a1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,63
d2xsdc2,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,55
d3q0wa1,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,73
d2d5va2,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,56
d6j4ka_,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,60
d3osga2,SCOPe-ALL,family,a.4.1.0,a,a.4,a.4.1,a.4.1.0,54
d3l00a2,SCOPe-ALL,family,a.4.2.0,a,a.4,a.4.2,a.4.2.0,88
d1c20a_,SCOPe-ALL,family,a.4.3.1,a,a.4,a.4.3,a.4.3.1,128
d1ig6a_,SCOPe-ALL,family,a.4.3.1,a,a.4,a.4.3,a.4.3.1,107
d2li6a_,SCOPe-ALL,family,a.4.3.1,a,a.4,a.4.3,a.4.3.1,116
d2cxya_,SCOPe-ALL,family,a.4.3.1,a,a.4,a.4.3,a.4.3.1,114
d2lm1a_,SCOPe-ALL,family,a.4.3.0,a,a.4,a.4.3,a.4.3.0,107
d1biaa1,SCOPe-ALL,family,a.4.5.1,a,a.4,a.4.5,a.4.5.1,63
d1j5ya1,SCOPe-ALL,family,a.4.5.1,a,a.4,a.4.5,a.4.5.1,65
d2p5ka_,SCOPe-ALL,family,a.4.5.3,a,a.4,a.4.5,a.4.5.3,63
