id,dataset,label_type,family,length
d4m1qa1,SCOPe-5K,family,4m1q,142
d1zvfa1,SCOPe-5K,family,1zvf,175
d2naca1,SCOPe-5K,family,2nac,188
d2naca2,SCOPe-5K,family,2nac,187
d2q46a2,SCOPe-5K,family,2q46,252
d2dm9a1,SCOPe-5K,family,2dm9,118
d1ckma2,SCOPe-5K,family,1ckm,228
d1ckma1,SCOPe-5K,family,1ckm,89
d1iqoa_,SCOPe-5K,family,1iqo,88
d1pgva_,SCOPe-5K,family,1pgv,167
d5b6ka1,SCOPe-5K,family,5b6k,342
d2rema_,SCOPe-5K,family,2rem,190
d2apla1,SCOPe-5K,family,2apl,149
d2z10a_,SCOPe-5K,family,2z10,188
d2bi7a1,SCOPe-5K,family,2bi7,315
d2bi7a2,SCOPe-5K,family,2bi7,69
d6f9oa1,SCOPe-5K,family,6f9o,303
d2ccla2,SCOPe-5K,family,2ccl,146
d2cclb1,SCOPe-5K,family,2ccl,59
d2p3wa1,SCOPe-5K,family,2p3w,100
d3x0ia_,SCOPe-5K,family,3x0i,159
d1u5pa1,SCOPe-5K,family,1u5p,110
d1u5pa2,SCOPe-5K,family,1u5p,101
d2jk3a2,SCOPe-5K,family,2jk3,114
d2jk3a1,SCOPe-5K,family,2jk3,73
d1edqa2,SCOPe-5K,family,1edq,359
d1edqa1,SCOPe-5K,family,1edq,109
d1edqa3,SCOPe-5K,family,1edq,73
d1vlra2,SCOPe-5K,family,1vlr,107
d1vlra1,SCOPe-5K,family,1vlr,192
d1rq6a_,SCOPe-5K,family,1rq6,62
d4hz2a1,SCOPe-5K,family,4hz2,79
d4hz2a2,SCOPe-5K,family,4hz2,125
d6h24a_,SCOPe-5K,family,6h24,131
d6i0ia_,SCOPe-5K,family,6i0i,108
d2cyja1,SCOPe-5K,family,2cyj,118
d1u7ba2,SCOPe-5K,family,1u7b,129
d1u7ba1,SCOPe-5K,family,1u7b,126
d1n6za_,SCOPe-5K,family,1n6z,105
d2l6qa_,SCOPe-5K,family,2l6q,62
d1ka8a_,SCOPe-5K,family,1ka8,100
d6a2bb_,SCOPe-5K,family,6a2b,94
d6a2ba2,SCOPe-5K,family,6a2b,93
d3mvga_,SCOPe-5K,family,3mvg,251
d1ueda_,SCOPe-5K,family,1ued,403
d2j59m1,SCOPe-5K,family,2j59,133
d1hfel2,SCOPe-5K,family,1hfe,85
d1hfes_,SCOPe-5K,family,1hfe,88
d2faza1,SCOPe-5K,family,2faz,76
d3zv4a_,SCOPe-5K,family,3zv4,275
d1kq6a_,SCOPe-5K,family,1kq6,140
d1zuna1,SCOPe-5K,family,1zun,211
d1zunb2,SCOPe-5K,family,1zun,105
d1zunb1,SCOPe-5K,family,1zun,92
d1zunb3,SCOPe-5K,family,1zun,222
d2ousa1,SCOPe-5K,family,2ous,323
d3mhsb_,SCOPe-5K,family,3mhs,91
d2a6ca1,SCOPe-5K,family,2a6c,69
d3wh1a_,SCOPe-5K,family,3wh1,204
d1vqta1,SCOPe-5K,family,1vqt,198
d3hxia1,SCOPe-5K,family,3hxi,181
d3ni8a1,SCOPe-5K,family,3ni8,139
d2c1xa1,SCOPe-5K,family,2c1x,450
d2gnoa2,SCOPe-5K,family,2gno,198
d2gnoa1,SCOPe-5K,family,2gno,98
d2crma1,SCOPe-5K,family,2crm,107
d6tuza_,SCOPe-5K,family,6tuz,365
d3c02a_,SCOPe-5K,family,3c02,242
d1l8na2,SCOPe-5K,family,1l8n,139
d1vyya_,SCOPe-5K,family,1vyy,113
d1v59a3,SCOPe-5K,family,1v59,123
d1v59a1,SCOPe-5K,family,1v59,234
d1v59a2,SCOPe-5K,family,1v59,122
d2lm1a_,SCOPe-5K,family,2lm1,107
d2r0ha_,SCOPe-5K,family,2r0h,160
d1vmga_,SCOPe-5K,family,1vmg,83
d1wlqc_,SCOPe-5K,family,1wlq,187
d3rota_,SCOPe-5K,family,3rot,273
d1poib_,SCOPe-5K,family,1poi,260
d1poia_,SCOPe-5K,family,1poi,317
d2axoa1,SCOPe-5K,family,2axo,225
d1nqja_,SCOPe-5K,family,1nqj,101
d5x3ya1,SCOPe-5K,family,5x3y,92
d1k38a_,SCOPe-5K,family,1k38,241
d1t1va_,SCOPe-5K,family,1t1v,93
d1rfsa_,SCOPe-5K,family,1rfs,127
d3gd6a1,SCOPe-5K,family,3gd6,122
d3gd6a2,SCOPe-5K,family,3gd6,252
d2ox7a1,SCOPe-5K,family,2ox7,142
d4edpa_,SCOPe-5K,family,4edp,316
d4h3ea2,SCOPe-5K,family,4h3e,114
d3pt8a_,SCOPe-5K,family,3pt8,151
d3d3ra1,SCOPe-5K,family,3d3r,76
d1rmja1,SCOPe-5K,family,1rmj,80
d2yhha_,SCOPe-5K,family,2yhh,108
d2gzsa_,SCOPe-5K,family,2gzs,265
d4q27a_,SCOPe-5K,family,4q27,133
d1weza1,SCOPe-5K,family,1wez,89
d1eoka_,SCOPe-5K,family,1eok,282
d4gcoa_,SCOPe-5K,family,4gco,120
d1sv7a_,SCOPe-5K,family,1sv7,109
d2eb4a_,SCOPe-5K,family,2eb4,267
d4fhaa_,SCOPe-5K,family,4fha,310
d5id6a2,SCOPe-5K,family,5id6,126
d5id6a1,SCOPe-5K,family,5id6,293
d5id6a3,SCOPe-5K,family,5id6,237
d5id6a5,SCOPe-5K,family,5id6,480
d5id6a4,SCOPe-5K,family,5id6,94
d4q7ka_,SCOPe-5K,family,4q7k,218
d3aala_,SCOPe-5K,family,3aal,298
d1jrma1,SCOPe-5K,family,1jrm,103
d1h0aa_,SCOPe-5K,family,1h0a,158
d4h03a1,SCOPe-5K,family,4h03,209
d6vxua_,SCOPe-5K,family,6vxu,322
d2nn5a1,SCOPe-5K,family,2nn5,160
d3efba1,SCOPe-5K,family,3efb,255
d1hc7a1,SCOPe-5K,family,1hc7,127
d1hc7a3,SCOPe-5K,family,1hc7,74
d1hc7a2,SCOPe-5K,family,1hc7,272
d1v4pa_,SCOPe-5K,family,1v4p,151
d1w4ra1,SCOPe-5K,family,1w4r,133
d1t6ca2,SCOPe-5K,family,1t6c,180
d1t6ca1,SCOPe-5K,family,1t6c,126
d2gnxa2,SCOPe-5K,family,2gnx,146
d2gnxa1,SCOPe-5K,family,2gnx,172
d1vtnc1,SCOPe-5K,family,1vtn,101
d3w1ya_,SCOPe-5K,family,3w1y,129
d1nm3a1,SCOPe-5K,family,1nm3,74
d3fe3a_,SCOPe-5K,family,3fe3,317
d3s6ja_,SCOPe-5K,family,3s6j,220
d5wmga1,SCOPe-5K,family,5wmg,125
d3r3qa_,SCOPe-5K,family,3r3q,153
d6qmma_,SCOPe-5K,family,6qmm,281
d1ub0a_,SCOPe-5K,family,1ub0,258
d4l2ib_,SCOPe-5K,family,4l2i,263
d6u1pa_,SCOPe-5K,family,6u1p,149
d1x7fa1,SCOPe-5K,family,1x7f,117
d1x7fa2,SCOPe-5K,family,1x7f,244
d1wc1a_,SCOPe-5K,family,1wc1,197
d5zw7a2,SCOPe-5K,family,5zw7,153
d5zw7a1,SCOPe-5K,family,5zw7,230
d6koga1,SCOPe-5K,family,6kog,255
d6koga2,SCOPe-5K,family,6kog,203
d2hqya2,SCOPe-5K,family,2hqy,134
d2hqya1,SCOPe-5K,family,2hqy,164
d3paja1,SCOPe-5K,family,3paj,128
d1texa_,SCOPe-5K,family,1tex,265
d1fhoa_,SCOPe-5K,family,1fho,119
d1b5ea_,SCOPe-5K,family,1b5e,241
d2zbxa1,SCOPe-5K,family,2zbx,399
d4yaga_,SCOPe-5K,family,4yag,271
d2pefa_,SCOPe-5K,family,2pef,373
d3rw7a2,SCOPe-5K,family,3rw7,160
d3rw7a1,SCOPe-5K,family,3rw7,82
d1xi9a1,SCOPe-5K,family,1xi9,394
d2xgya_,SCOPe-5K,family,2xgy,137
d1uj6a2,SCOPe-5K,family,1uj6,74
d1uj6a1,SCOPe-5K,family,1uj6,152
d4w4ka_,SCOPe-5K,family,4w4k,82
d4w4kb_,SCOPe-5K,family,4w4k,173
d3hmoa_,SCOPe-5K,family,3hmo,281
d2ovla1,SCOPe-5K,family,2ovl,126
d2ovla2,SCOPe-5K,family,2ovl,233
d4dw8a_,SCOPe-5K,family,4dw8,266
d4ua6a_,SCOPe-5K,family,4ua6,263
d2ga1a1,SCOPe-5K,family,2ga1,102
d1z9ta_,SCOPe-5K,family,1z9t,242
d2p4pa1,SCOPe-5K,family,2p4p,82
d2qvja_,SCOPe-5K,family,2qvj,421
d1mnma_,SCOPe-5K,family,1mnm,85
d6iy4i_,SCOPe-5K,family,6iy4,93
d2f6ka1,SCOPe-5K,family,2f6k,306
d6c3ma1,SCOPe-5K,family,6c3m,66
d6c3ma4,SCOPe-5K,family,6c3m,145
d6c3ma3,SCOPe-5K,family,6c3m,80
d6c3ma2,SCOPe-5K,family,6c3m,200
d2cyea1,SCOPe-5K,family,2cye,132
d3kfla2,SCOPe-5K,family,3kfl,162
d1gs9a_,SCOPe-5K,family,1gs9,144
d1v65a1,SCOPe-5K,family,1v65,51
d1amma1,SCOPe-5K,family,1amm,85
d1amma2,SCOPe-5K,family,1amm,89
d1gy8a_,SCOPe-5K,family,1gy8,383
d1wx1a_,SCOPe-5K,family,1wx1,335
d5tv2a2,SCOPe-5K,family,5tv2,117
d5tv2a1,SCOPe-5K,family,5tv2,288
d1pufb_,SCOPe-5K,family,1puf,73
d1pufa_,SCOPe-5K,family,1puf,77
d1saya1,SCOPe-5K,family,1say,168
d1saya2,SCOPe-5K,family,1say,194
d1n4ka2,SCOPe-5K,family,1n4k,200
d1n4ka1,SCOPe-5K,family,1n4k,167
d4f0hb_,SCOPe-5K,family,4f0h,138
d4emta1,SCOPe-5K,family,4emt,183
d4wnoa_,SCOPe-5K,family,4wno,273
d1c4oa1,SCOPe-5K,family,1c4o,408
d1c4oa2,SCOPe-5K,family,1c4o,174
d2wbsa_,SCOPe-5K,family,2wbs,87
d1ofwa_,SCOPe-5K,family,1ofw,293
d4mb8a1,SCOPe-5K,family,4mb8,134
d4oq9a_,SCOPe-5K,family,4oq9,144
d5zrca_,SCOPe-5K,family,5zrc,126
d3tqta2,SCOPe-5K,family,3tqt,232
d2dn7a1,SCOPe-5K,family,2dn7,94
d2jc4a_,SCOPe-5K,family,2jc4,256
d2m2ua_,SCOPe-5K,family,2m2u,174
d3pu5a1,SCOPe-5K,family,3pu5,321
d1fo5a_,SCOPe-5K,family,1fo5,85
d4uxaa_,SCOPe-5K,family,4uxa,131
d1wfya1,SCOPe-5K,family,1wfy,91
d1orda2,SCOPe-5K,family,1ord,462
d1orda3,SCOPe-5K,family,1ord,161
d1orda1,SCOPe-5K,family,1ord,107
d6tl7a1,SCOPe-5K,family,6tl7,131
d1wiya_,SCOPe-5K,family,1wiy,385
d5qu8a_,SCOPe-5K,family,5qu8,58
d5zkka_,SCOPe-5K,family,5zkk,197
d1k9ua_,SCOPe-5K,family,1k9u,76
d1rq8a_,SCOPe-5K,family,1rq8,96
d2gjva1,SCOPe-5K,family,2gjv,134
d3hjea2,SCOPe-5K,family,3hje,63
d1gy7a_,SCOPe-5K,family,1gy7,121
d1vkha1,SCOPe-5K,family,1vkh,261
d3ieia_,SCOPe-5K,family,3iei,310
d2da5a1,SCOPe-5K,family,2da5,62
d2v8ta_,SCOPe-5K,family,2v8t,302
d2iyva2,SCOPe-5K,family,2iyv,175
d1v5pa1,SCOPe-5K,family,1v5p,113
d2o55a_,SCOPe-5K,family,2o55,254
d3i65a_,SCOPe-5K,family,3i65,378
d4amga1,SCOPe-5K,family,4amg,377
d3cb2a2,SCOPe-5K,family,3cb2,200
d3cb2a1,SCOPe-5K,family,3cb2,245
d1oi0a_,SCOPe-5K,family,1oi0,121
d1heka1,SCOPe-5K,family,1hek,109
d1vi6a_,SCOPe-5K,family,1vi6,193
d3mmha_,SCOPe-5K,family,3mmh,167
d1kfwa1,SCOPe-5K,family,1kfw,375
d1kfwa2,SCOPe-5K,family,1kfw,61
d2ja9a2,SCOPe-5K,family,2ja9,85
d2ja9a1,SCOPe-5K,family,2ja9,90
d5ffga2,SCOPe-5K,family,5ffg,155
d3v4na2,SCOPe-5K,family,3v4n,216
d6mgla1,SCOPe-5K,family,6mgl,407
d6mgla2,SCOPe-5K,family,6mgl,338
d1n1fa_,SCOPe-5K,family,1n1f,156
d4m3pa_,SCOPe-5K,family,4m3p,392
d1tygb_,SCOPe-5K,family,1tyg,65
d3vypa1,SCOPe-5K,family,3vyp,111
d3vypa2,SCOPe-5K,family,3vyp,157
d2qu7a_,SCOPe-5K,family,2qu7,274
d1vi7a2,SCOPe-5K,family,1vi7,70
d3tqoa2,SCOPe-5K,family,3tqo,87
d2b94a1,SCOPe-5K,family,2b94,244
d5teaa_,SCOPe-5K,family,5tea,173
d1j72a3,SCOPe-5K,family,1j72,107
d1x6oa2,SCOPe-5K,family,1x6o,79
d4zgyb_,SCOPe-5K,family,4zgy,125
d1uara1,SCOPe-5K,family,1uar,143
d1uara2,SCOPe-5K,family,1uar,141
d2dn0a1,SCOPe-5K,family,2dn0,63
d1ujpa_,SCOPe-5K,family,1ujp,271
d2fmma_,SCOPe-5K,family,2fmm,68
d1yrea1,SCOPe-5K,family,1yre,183
d3n6wa1,SCOPe-5K,family,3n6w,95
d3n6wa2,SCOPe-5K,family,3n6w,290
d1gpma2,SCOPe-5K,family,1gpm,205
d2cula1,SCOPe-5K,family,2cul,230
d5h91a_,SCOPe-5K,family,5h91,217
d1ou5a1,SCOPe-5K,family,1ou5,204
d1ou5a2,SCOPe-5K,family,1ou5,150
d4qlxa_,SCOPe-5K,family,4qlx,217
d2a4va1,SCOPe-5K,family,2a4v,156
d4xuoa_,SCOPe-5K,family,4xuo,156
d1yt8a1,SCOPe-5K,family,1yt8,136
d1yt8a3,SCOPe-5K,family,1yt8,157
d1yt8a4,SCOPe-5K,family,1yt8,130
d1yt8a2,SCOPe-5K,family,1yt8,101
d2q03a1,SCOPe-5K,family,2q03,133
d1erja_,SCOPe-5K,family,1erj,388
d1v5qa1,SCOPe-5K,family,1v5q,109
d3cn5a_,SCOPe-5K,family,3cn5,237
d2ewca1,SCOPe-5K,family,2ewc,120
d2cwsa1,SCOPe-5K,family,2cws,226
d6t0ya_,SCOPe-5K,family,6t0y,270
d1ro2a_,SCOPe-5K,family,1ro2,210
d1wiva1,SCOPe-5K,family,1wiv,60
d3viia_,SCOPe-5K,family,3vii,472
d2para_,SCOPe-5K,family,2par,186
d1pgja1,SCOPe-5K,family,1pgj,300
d2r2za1,SCOPe-5K,family,2r2z,84
d3r8ja_,SCOPe-5K,family,3r8j,180
d1mk0a_,SCOPe-5K,family,1mk0,97
d1dlca1,SCOPe-5K,family,1dlc,145
d1dlca2,SCOPe-5K,family,1dlc,210
d3szaa_,SCOPe-5K,family,3sza,447
d4lfhg2,SCOPe-5K,family,4lfh,113
d4lfhg1,SCOPe-5K,family,4lfh,116
d4lfhd2,SCOPe-5K,family,4lfh,86
d6ygia_,SCOPe-5K,family,6ygi,148
d4icva_,SCOPe-5K,family,4icv,84
d2w70a1,SCOPe-5K,family,2w70,114
d2w70a2,SCOPe-5K,family,2w70,216
d2w70a3,SCOPe-5K,family,2w70,116
d1t36a6,SCOPe-5K,family,1t36,259
d1t36b2,SCOPe-5K,family,1t36,228
d1t36a2,SCOPe-5K,family,1t36,138
d1t36b1,SCOPe-5K,family,1t36,151
d1t36a3,SCOPe-5K,family,1t36,127
d1t36a1,SCOPe-5K,family,1t36,153
d1t36a5,SCOPe-5K,family,1t36,275
d1ys6a1,SCOPe-5K,family,1ys6,106
d2iepa1,SCOPe-5K,family,2iep,95
d2iepa2,SCOPe-5K,family,2iep,92
d3proc1,SCOPe-5K,family,3pro,80
d3proc2,SCOPe-5K,family,3pro,78
d1jl5a_,SCOPe-5K,family,1jl5,353
d1k68a_,SCOPe-5K,family,1k68,140
d1w53a_,SCOPe-5K,family,1w53,84
d3u7ra1,SCOPe-5K,family,3u7r,181
d2cx1a2,SCOPe-5K,family,2cx1,90
d2cx1a1,SCOPe-5K,family,2cx1,93
d2zica2,SCOPe-5K,family,2zic,73
d3hs3a1,SCOPe-5K,family,3hs3,262
d1wgqa1,SCOPe-5K,family,1wgq,96
d4id8a_,SCOPe-5K,family,4id8,65
d1nrjb_,SCOPe-5K,family,1nrj,209
d1nrja_,SCOPe-5K,family,1nrj,155
d5t5da_,SCOPe-5K,family,5t5d,155
d1vj0a2,SCOPe-5K,family,1vj0,182
d1vj0a1,SCOPe-5K,family,1vj0,185
d3ds2a_,SCOPe-5K,family,3ds2,84
d1zuoa1,SCOPe-5K,family,1zuo,162
d4gv2a1,SCOPe-5K,family,4gv2,144
d4gv2a2,SCOPe-5K,family,4gv2,211
d3pr1a_,SCOPe-5K,family,3pr1,192
d1gksa_,SCOPe-5K,family,1gks,78
d1f46a_,SCOPe-5K,family,1f46,139
d1om2a_,SCOPe-5K,family,1om2,95
d1vr6a2,SCOPe-5K,family,1vr6,338
d4uqva_,SCOPe-5K,family,4uqv,429
d1czsa_,SCOPe-5K,family,1czs,160
d1lw7a2,SCOPe-5K,family,1lw7,192
d1lw7a1,SCOPe-5K,family,1lw7,163
d5cgea1,SCOPe-5K,family,5cge,263
d5m1ea2,SCOPe-5K,family,5m1e,167
d5m1ea1,SCOPe-5K,family,5m1e,320
d3ucea_,SCOPe-5K,family,3uce,219
d7lsgc_,SCOPe-5K,family,7lsg,94
d1e6ta_,SCOPe-5K,family,1e6t,129
d1uv7a_,SCOPe-5K,family,1uv7,80
d3mhra1,SCOPe-5K,family,3mhr,231
d3heba1,SCOPe-5K,family,3heb,140
d3mtsa1,SCOPe-5K,family,3mts,61
d3qdoa1,SCOPe-5K,family,3qdo,103
d4olta_,SCOPe-5K,family,4olt,236
d1kmva_,SCOPe-5K,family,1kmv,186
d3eaga2,SCOPe-5K,family,3eag,231
d3eaga1,SCOPe-5K,family,3eag,92
d1vp8a1,SCOPe-5K,family,1vp8,189
d5c7ha_,SCOPe-5K,family,5c7h,281
d2g8la1,SCOPe-5K,family,2g8l,284
d3f0wa1,SCOPe-5K,family,3f0w,143
d2hgka1,SCOPe-5K,family,2hgk,109
d3zuda_,SCOPe-5K,family,3zud,228
d3tsaa1,SCOPe-5K,family,3tsa,385
d6q4sa_,SCOPe-5K,family,6q4s,313
d2o70a1,SCOPe-5K,family,2o70,165
d6gvda2,SCOPe-5K,family,6gvd,348
d6gvda1,SCOPe-5K,family,6gvd,177
d2z48a2,SCOPe-5K,family,2z48,133
d2z48a3,SCOPe-5K,family,2z48,149
d2z48a1,SCOPe-5K,family,2z48,149
d3ivva1,SCOPe-5K,family,3ivv,138
d2ayta2,SCOPe-5K,family,2ayt,108
d2ayta1,SCOPe-5K,family,2ayt,121
d1nyaa_,SCOPe-5K,family,1nya,176
d3ps0a1,SCOPe-5K,family,3ps0,320
d1iura1,SCOPe-5K,family,1iur,75
d2doba1,SCOPe-5K,family,2dob,81
d1in0a1,SCOPe-5K,family,1in0,88
d1in0a2,SCOPe-5K,family,1in0,74
d1i7qb_,SCOPe-5K,family,1i7q,192
d1ekza_,SCOPe-5K,family,1ekz,76
d1j34a_,SCOPe-5K,family,1j34,129
d1vpqa1,SCOPe-5K,family,1vpq,259
d4mypa_,SCOPe-5K,family,4myp,121
d5buva1,SCOPe-5K,family,5buv,172
d1g6xa_,SCOPe-5K,family,1g6x,58
d1qmha2,SCOPe-5K,family,1qmh,240
d1qmha1,SCOPe-5K,family,1qmh,95
d2qgva_,SCOPe-5K,family,2qgv,121
d1z4da1,SCOPe-5K,family,1z4d,60
d3b4wa_,SCOPe-5K,family,3b4w,483
d1oqpa1,SCOPe-5K,family,1oqp,75
d5cfja_,SCOPe-5K,family,5cfj,146
d1jkga_,SCOPe-5K,family,1jkg,139
d1jkgb1,SCOPe-5K,family,1jkg,185
d3ojmb2,SCOPe-5K,family,3ojm,111
d2bwfa_,SCOPe-5K,family,2bwf,77
d1vh5a1,SCOPe-5K,family,1vh5,135
d7l1vr_,SCOPe-5K,family,7l1v,293
d1nlfa_,SCOPe-5K,family,1nlf,274
d2p65a_,SCOPe-5K,family,2p65,185
d7ne5a1,SCOPe-5K,family,7ne5,410
d4n5ma_,SCOPe-5K,family,4n5m,246
d1y74a1,SCOPe-5K,family,1y74,57
d1y74b_,SCOPe-5K,family,1y74,50
d2gyqa1,SCOPe-5K,family,2gyq,160
d4nf7a1,SCOPe-5K,family,4nf7,361
d1fe4a_,SCOPe-5K,family,1fe4,68
d3g9ma1,SCOPe-5K,family,3g9m,75
d2a7ka1,SCOPe-5K,family,2a7k,230
d6jifa_,SCOPe-5K,family,6jif,333
d5jica1,SCOPe-5K,family,5jic,266
d2fiua1,SCOPe-5K,family,2fiu,95
d3msua1,SCOPe-5K,family,3msu,424
d4hl6a_,SCOPe-5K,family,4hl6,375
d5xb0a_,SCOPe-5K,family,5xb0,133
d1ssxa_,SCOPe-5K,family,1ssx,198
d3ozua1,SCOPe-5K,family,3ozu,150
d3ozua3,SCOPe-5K,family,3ozu,142
d3ozua2,SCOPe-5K,family,3ozu,111
d3ea6a2,SCOPe-5K,family,3ea6,131
d3ea6a1,SCOPe-5K,family,3ea6,84
d2pwaa_,SCOPe-5K,family,2pwa,279
d2pa2a1,SCOPe-5K,family,2pa2,137
d6jjma1,SCOPe-5K,family,6jjm,451
d5hmla1,SCOPe-5K,family,5hml,166
d5hmla2,SCOPe-5K,family,5hml,105
d2fhpa1,SCOPe-5K,family,2fhp,182
d2f2ea1,SCOPe-5K,family,2f2e,142
d6nydc_,SCOPe-5K,family,6nyd,176
d2i9ua1,SCOPe-5K,family,2i9u,110
d1sw6a_,SCOPe-5K,family,1sw6,301
d4exla_,SCOPe-5K,family,4exl,261
d2qwza1,SCOPe-5K,family,2qwz,138
d1dbqa_,SCOPe-5K,family,1dbq,282
d2aska_,SCOPe-5K,family,2ask,101
d1te5a_,SCOPe-5K,family,1te5,253
d1hwma_,SCOPe-5K,family,1hwm,251
d1qbaa2,SCOPe-5K,family,1qba,173
d1qbaa3,SCOPe-5K,family,1qba,443
d1qbaa4,SCOPe-5K,family,1qba,137
d1qbaa1,SCOPe-5K,family,1qba,105
d3zdsa_,SCOPe-5K,family,3zds,425
d3fiua_,SCOPe-5K,family,3fiu,244
d2xmka_,SCOPe-5K,family,2xmk,63
d6cbra1,SCOPe-5K,family,6cbr,139
d3pxla1,SCOPe-5K,family,3pxl,130
d3pxla3,SCOPe-5K,family,3pxl,199
d3pxla2,SCOPe-5K,family,3pxl,170
d3gm5a1,SCOPe-5K,family,3gm5,150
d2jz6a1,SCOPe-5K,family,2jz6,70
d5f6ea_,SCOPe-5K,family,5f6e,156
d7mqva2,SCOPe-5K,family,7mqv,112
d7mqva1,SCOPe-5K,family,7mqv,182
d1svma_,SCOPe-5K,family,1svm,362
d2ae8a1,SCOPe-5K,family,2ae8,84
d3nc3a_,SCOPe-5K,family,3nc3,399
d5x2ba_,SCOPe-5K,family,5x2b,281
d3bq9a2,SCOPe-5K,family,3bq9,211
d3bq9a3,SCOPe-5K,family,3bq9,101
